experiment,plant,date_time,camera,view_option,hash
10ac_mpo1_1904,10ac100_ca_mock_xx_100,2019-05-04 05:59:55,msp,sw755,bBxnW-VJguTHrR1heyox3ydBbfpE.jpg
10ac_mpo1_1904,10ac100_ca_mock_xx_100,2019-05-05 06:00:37,msp,sw755,bpW70Td5eV4xkUIym9XRJnu8Acho.jpg
10ac_mpo1_1904,10ac100_ca_mock_xx_100,2019-05-07 06:00:54,msp,sw755,bPM-aOQctLNKzYGiZ9ZdTBmthavI.jpg
10ac_mpo1_1904,10ac100_ca_mock_xx_100,2019-05-08 12:28:21,msp,sw755,bsZSULAoEEENMYtElvh67OgXeCnw.jpg
10ac_mpo1_1904,10ac100_ca_mock_xx_100,2019-05-09 05:59:48,msp,sw755,bd6qIKeyu9HuV3oo2xyuJ-6vSHo0.jpg
10ac_mpo1_1904,10ac100_ca_mock_xx_100,2019-05-10 05:59:54,msp,sw755,bvmF1S3tpr4cpawHW3nlRG8qAnaE.jpg
10ac_mpo1_1904,10ac100_ca_mock_xx_100,2019-05-11 05:59:59,msp,sw755,bE-rVmpqHtcOLPzwy4oNHrd-72CQ.jpg
10ac_mpo1_1904,10ac100_ca_mock_xx_100,2019-05-12 05:59:57,msp,sw755,bq88VSaoLucoaOh-S-Drw7YC0m50.jpg
10ac_mpo1_1904,10ac100_ca_mock_xx_100,2019-05-14 11:44:11,msp,sw755,bf2N-7n10JTfv4Czajg2mBNcYIHc.jpg
10ac_mpo1_1904,10ac100_ca_mock_xx_100,2019-05-15 05:59:54,msp,sw755,b6ywJ8xvvLEZfTXLnONPJRylAlXw.jpg
10ac_mpo1_1904,10ac100_ca_mock_xx_100,2019-05-16 05:59:56,msp,sw755,bOPE5vZtfD1fnxJ8jKwqEgRZytcA.jpg
10ac_mpo1_1904,10ac100_ca_mock_xx_100,2019-05-17 05:59:56,msp,sw755,bViOg9e9oLW84ro8OgypUdSIBuc.jpg
10ac_mpo1_1904,10ac100_ca_mock_xx_100,2019-05-18 05:59:50,msp,sw755,bfkDqkohAnypSnBZ51euMss6rA.jpg
10ac_mpo1_1904,10ac101_ts_mock_xx_101,2019-05-04 06:00:46,msp,sw755,b9nNEwMZtUbNadWl4ENcDtgOpTY.jpg
10ac_mpo1_1904,10ac101_ts_mock_xx_101,2019-05-05 06:01:29,msp,sw755,b8Cj-3Iy9Pb9Z5mqPicHNte3g4nU.jpg
10ac_mpo1_1904,10ac101_ts_mock_xx_101,2019-05-07 06:01:46,msp,sw755,bb7FDLtJMpeYkbZcE6o75akDfTRM.jpg
10ac_mpo1_1904,10ac101_ts_mock_xx_101,2019-05-08 12:29:12,msp,sw755,bUCYHvon6aupGQMuwsQWQtH8Z9g.jpg
10ac_mpo1_1904,10ac101_ts_mock_xx_101,2019-05-09 06:00:39,msp,sw755,bA9Jz4vp0f8wNZLX3JhrVKXn5b3Q.jpg
10ac_mpo1_1904,10ac101_ts_mock_xx_101,2019-05-10 06:00:46,msp,sw755,bvzSOQ696McnNrTZESazbAIhPDs.jpg
10ac_mpo1_1904,10ac101_ts_mock_xx_101,2019-05-11 06:00:51,msp,sw755,bnRel316tP3KwxZGiy04SLFfM3Nc.jpg
10ac_mpo1_1904,10ac101_ts_mock_xx_101,2019-05-12 06:00:49,msp,sw755,bLU1XgkAep0infAGzPPluNDSpTHM.jpg
10ac_mpo1_1904,10ac101_ts_mock_xx_101,2019-05-14 11:45:02,msp,sw755,bg3t3Ggmf9JtdsYSN6LqIngvIqtQ.jpg
10ac_mpo1_1904,10ac101_ts_mock_xx_101,2019-05-15 06:00:45,msp,sw755,byNw9lh02YV1Ue0tQiYsXWS-7mM.jpg
10ac_mpo1_1904,10ac101_ts_mock_xx_101,2019-05-16 06:00:49,msp,sw755,bCUAkRZFKDutCd0jD-nnPtuBzE.jpg
10ac_mpo1_1904,10ac101_ts_mock_xx_101,2019-05-17 06:00:48,msp,sw755,bSDOXwxjkiQdPY0gOM08YbqogF64.jpg
10ac_mpo1_1904,10ac101_ts_mock_xx_101,2019-05-18 06:00:42,msp,sw755,b1ZFBPu0ribSySZHBNwyyquzWccU.jpg
