experiment,plant,date_time,camera,view_option,hash,date,time
10ac_mpo1_1904,10ac100_ca_mock_xx_100,2019-05-04 05:59:55,msp,sw755,bBxnW-VJguTHrR1heyox3ydBbfpE.jpg,2019-05-04,05:59:55
10ac_mpo1_1904,10ac100_ca_mock_xx_100,2019-05-05 06:00:37,msp,sw755,bpW70Td5eV4xkUIym9XRJnu8Acho.jpg,2019-05-05,06:00:37
10ac_mpo1_1904,10ac100_ca_mock_xx_100,2019-05-07 06:00:54,msp,sw755,bPM-aOQctLNKzYGiZ9ZdTBmthavI.jpg,2019-05-07,06:00:54
10ac_mpo1_1904,10ac100_ca_mock_xx_100,2019-05-08 12:28:21,msp,sw755,bsZSULAoEEENMYtElvh67OgXeCnw.jpg,2019-05-08,12:28:21
10ac_mpo1_1904,10ac100_ca_mock_xx_100,2019-05-09 05:59:48,msp,sw755,bd6qIKeyu9HuV3oo2xyuJ-6vSHo0.jpg,2019-05-09,05:59:48
10ac_mpo1_1904,10ac100_ca_mock_xx_100,2019-05-10 05:59:54,msp,sw755,bvmF1S3tpr4cpawHW3nlRG8qAnaE.jpg,2019-05-10,05:59:54
10ac_mpo1_1904,10ac100_ca_mock_xx_100,2019-05-11 05:59:59,msp,sw755,bE-rVmpqHtcOLPzwy4oNHrd-72CQ.jpg,2019-05-11,05:59:59
10ac_mpo1_1904,10ac100_ca_mock_xx_100,2019-05-12 05:59:57,msp,sw755,bq88VSaoLucoaOh-S-Drw7YC0m50.jpg,2019-05-12,05:59:57
10ac_mpo1_1904,10ac100_ca_mock_xx_100,2019-05-14 11:44:11,msp,sw755,bf2N-7n10JTfv4Czajg2mBNcYIHc.jpg,2019-05-14,11:44:11
10ac_mpo1_1904,10ac100_ca_mock_xx_100,2019-05-15 05:59:54,msp,sw755,b6ywJ8xvvLEZfTXLnONPJRylAlXw.jpg,2019-05-15,05:59:54
10ac_mpo1_1904,10ac100_ca_mock_xx_100,2019-05-16 05:59:56,msp,sw755,bOPE5vZtfD1fnxJ8jKwqEgRZytcA.jpg,2019-05-16,05:59:56
10ac_mpo1_1904,10ac100_ca_mock_xx_100,2019-05-17 05:59:56,msp,sw755,bViOg9e9oLW84ro8OgypUdSIBuc.jpg,2019-05-17,05:59:56
